quarter,gdp_growth,inflation,unemployment,country,quarter_str
2017-06-30,2.797906720551,1.50949485109628,3.781,Germany,2017Q2
2017-09-30,2.3823540519128725,1.565163337739565,3.68175,Germany,2017Q3
2017-12-31,1.966801383274745,1.62083182438285,3.5825,Germany,2017Q4
2018-03-31,1.5512487146366174,1.676500311026135,3.48325,Germany,2018Q1
2018-06-30,1.13569604599849,1.73216879766942,3.384,Germany,2018Q2
2018-09-30,1.0962057087585635,1.6605415404726975,3.32875,Germany,2018Q3
2018-12-31,1.056715371518637,1.588914283275975,3.2735,Germany,2018Q4
2019-03-31,1.0172250342787106,1.5172870260792524,3.21825,Germany,2019Q1
2019-06-30,0.977734697038784,1.44565976888253,3.163,Germany,2019Q2
2019-09-30,-0.2996775853207795,1.1204643081153929,3.3425,Germany,2019Q3
2019-12-31,-1.577089867680343,0.795268847348256,3.522,Germany,2019Q4
2020-03-31,-2.854502150039907,0.4700733865811191,3.7015,Germany,2020Q1
2020-06-30,-4.13191443239947,0.144877925813982,3.881,Germany,2020Q2
2020-09-30,-2.1214358387893326,0.8753251110271689,3.8092499999999996,Germany,2020Q3
2020-12-31,-0.11095724517919514,1.605772296240356,3.7375,Germany,2020Q4
2021-03-31,1.899521348430942,2.336219481453543,3.66575,Germany,2021Q1
2021-06-30,3.90999994204108,3.06666666666673,3.594,Germany,2021Q2
2021-09-30,3.384814487607335,4.01814359637779,3.47975,Germany,2021Q3
2021-12-31,2.85962903317359,4.96962052608885,3.3655,Germany,2021Q4
2022-03-31,2.3344435787398448,5.921097455799909,3.2512499999999998,Germany,2022Q1
2022-06-30,1.8092581243061,6.87257438551097,3.137,Germany,2022Q2
2022-09-30,1.1395316985862447,6.641039958447785,3.1205,Germany,2022Q3
2022-12-31,0.4698052728663895,6.4095055313846,3.104,Germany,2022Q4
2023-03-31,-0.19992115285346568,6.177971104321415,3.0875000000000004,Germany,2023Q1
2023-06-30,-0.869647578573321,5.94643667725823,3.071,Germany,2023Q2
2023-09-30,-0.869647578573321,5.94643667725823,3.071,Germany,2023Q3
